UPC,ASIN,Item Name,Cost,Manufacturer,Sales Rank,Listing Price,New Offer Count,FBA Fees,FBM Fees,Total Costs,Net Profit,ROI (%)
045125613827,B000256DVS,Kaytee Comfort Wheel Small 5.5 Inches,2.05,Central Garden & Pet,8333,8.95,14,5.12,1.34,7.17,1.78,86.83%
15905259309,B0002AS6TK,"All Glass Aquarium AAG25930 Fluorescent Strip Light,Cotton, 30-Inch",29.99,Allen's Bookshop,58905,0,0,10.28,0.3,40.27,-40.27,-134.28%
15905650038,B0002ASD2K,Aqueon Silicone Sealant Clear 3 Ounces,8.07,Central Garden & Pet,3884,6.38,11,4.09,0.96,12.16,-5.78,-71.62%
096316671454,B001VGX6Z8,"Zilla Reptile Terrarium Incandescent Heat Bulb, Night Red, 50 Watts",0.05,Central Garden & Pet,8750,7.46,11,4.25,1.12,4.3,3.16,6320.00%
096316671348,B001VGX6IA,"Zilla Reptile Terrarium Incandescent Heat Bulb, Day White, 75 Watts",1.5,Central Garden & Pet,8750,7.56,11,4.51,1.13,6.01,1.55,103.33%
15905650106,B0002ASD34,Aqueon Aquarium Silicone Sealant Clear 10 Ounces,20.74,Central Garden & Pet,204369,0,13,4.08,0.3,24.82,-24.82,-119.67%
045663590000,B001OVGLW0,Four Paws Walk-About Quick-Fit Dog Muzzle 0-XX-Small,0.05,Central Garden & Pet,8814,11.98,13,5.7,1.8,5.75,6.23,12460.00%
15905653541,B07Q6Z886H,"Aqueon 2 Pack of Full-Spectrum Daylight T8 Fluorescent Lamp,Glass 17-Watt, 24-Inch",16.85,Aqueon,22012,18.09,3,12.32,2.71,29.17,-11.08,-65.76%
15905653541,B000YIWN12,Aqueon T8 Fluorescent Lamp Replacements Daylight 24 Inches,16.85,Central Garden & Pet,41466,0,5,9.14,0.3,25.99,-25.99,-154.24%
15905653541,B00BUFRY8K,"Aqueon 65352 36-Inch Full-Spectrum Daylight T8 Fluorescent Lamp, 25-Watt",16.85,Aqueon,101469,0,0,10.28,0.3,27.13,-27.13,-161.01%
52309720257,B005G6TOFU,"Beckett Corporation 7202510 Pond Liner, 6ft x 12ft, Brown",29.83,Beckett Corporation,191448,28.63,8,16.38,4.29,46.21,-17.58,-58.93%
52309721629,B00G93ZTVW,"Beckett Corporation PL810 8 10 Foot Pond Liner, 8ft x 10ft, Black",51.46,Beckett Corporation,192972,24.99,10,13.07,3.75,64.53,-39.54,-76.84%
52309721674,B00G93ZW5U,"Beckett Corporation SL3 Solar Pond or Water Garden, Lily Pad LED Floating Lights, Multi-Color",19.93,Beckett Corporation,348401,19.99,10,8.87,3,28.8,-8.81,-44.20%
52309721964,B015EA5ULY,"Spaces Places 7219610 DP40 Fountain Pump, Black",16,Beckett Corporation,266682,11.88,6,5.93,1.78,21.93,-10.05,-62.81%
045663590505,B0002ATB7Q,"Four Paws Quick Fit Dog Muzzle, Black, Size 5",1.5,Central Garden & Pet,8814,12.72,13,5.06,1.91,6.56,6.16,410.67%
045663590109,B0002ATB5S,Four Paws Walk-About Quick-Fit Dog Muzzle 1 - X-Small,1.25,Central Garden & Pet,8814,12.28,10,4.9,1.84,6.15,6.13,490.40%
018214834342,B00WZ8WI8C,"Nylabone Power Chew Flavor Frenzy Dental Bone Chew Toy for Dogs, Indestructible Chew Toys for Aggressive Chewers, Philly Cheesesteak Flavor, Medium/Wolf - Up to 35 lbs. (1 Count)",1.5,Central Garden & Pet,9497,9.23,16,4.51,1.38,6.01,3.22,214.67%
015561113823,B003A1HIGU,"AquaClear A1382 Activated Carbon Insert, 30-Gallon Aquariums, White, 3-Pack",1,Rolf C. Hagen (USA) Corp.,9516,5.99,7,4.03,0.9,5.03,0.96,96.00%
30157000905,B00BUFX9IY,"Blue Ribbon Pet Products ABLEC6 Easy Catch Fish Net for Aquarium, 6-Inch",6.77,TopDawg Pet Supply,239954,4.99,5,3.66,0.75,10.43,-5.44,-80.35%
30157000905,B0002DIC8C,"Fish Net with Long Handle, 6""",6.77,Blue Ribbon Products,457948,8.44,5,10.49,1.27,17.26,-8.82,-130.28%
015561173483,B084H4BLW6,"Fluval Bug Bites Color Enhancing Fish Food for Tropical Fish, Flakes for Small to Medium Sized Fish, 3.17 oz., A7348, Brown",1.25,Rolf C. Hagen (USA) Corp.,9579,9.49,8,4.55,1.42,5.8,3.69,295.20%
015905060394,B004LODHTW,Aqueon Tropical Flakes Color Enhancing 2.29 Ounces Color,0.05,Central Garden & Pet,9774,5.99,10,4.03,0.9,4.08,1.91,3820.00%
30157001841,B0002AT7IE,"Exotic Environments Forgotten Ruins Aquarium Ornament, 7-1/2-Inch by 5-1/2-Inch by 7-Inch",19.3,Blue Ribbon Pet Products,353589,16.9,4,9.94,2.54,29.24,-12.34,-63.94%
30157001841,B004LODKIK,"Fish & Aquatic Supplies Resin Ornament - Forgotten Ruin 7.5 X 5.5 X 7""",19.3,BLUE RIBBON PET PRODUCTS,540769,21.99,3,11.02,3.3,30.32,-8.33,-43.16%
015561113731,B000A7709M,"Aquaclear Fish A1373 70-Gallon Biomax,White,Large Breeds",1,Rolf C. Hagen (USA) Corp.,10151,9.03,8,4.48,1.35,5.48,3.55,355.00%
30157001902,B001OVBC24,"Exotic Environments Cobblestone Archway Aquarium Ornament, 7-Inch by 2-1/2-Inch by 6-1/2-Inch",14.86,Blue Ribbon Pet Products,291663,22.28,4,8.71,3.34,23.57,-1.29,-8.68%
30157001933,B0002AT7UW,"Exotic Environments Castle Fortress with Gargoyles Aquarium Ornament, 10-Inch by 3-1/2-Inch by 5-1/2-Inch",16.28,Blue Ribbon Pet Products,86100,0,1,5.4,0.3,21.68,-21.68,-133.17%
30157002060,B0002AT7XE,"Exotic Environments Medieval Castle Aquarium Ornament, Tall, 5-Inch by 4-1/2-Inch by 12-Inch",19.39,Blue Ribbon Pet Products,402539,28.74,4,11.63,4.31,31.02,-2.28,-11.76%
30157002763,B0002AT84C,"Exotic Environments Caribbean Living Reef Aquarium Ornament, Large, 12-Inch by 8-1/2-Inch by 9-Inch",27.58,Blue Ribbon Pet Products,121815,0,2,10.86,0.3,38.44,-38.44,-139.38%
30157005016,B003WRN33E,"Blue Ribbon Pet Products ABLEC5L Easy Catch Fish Net with X-Large Handle, 5-Inch",0.05,TopDawg Pet Supply,220128,6.71,3,10.23,1.01,10.28,-3.57,-7140.00%
015958972163,B0049BHQ1C,"Pork Chomps Baked Pork Skin Dog Chews, 4-inch strips, 10oz Bag",5.79,"Scott Pet Products, Inc.",10426,15.77,6,8.42,2.37,14.21,1.56,26.94%
097612117103,B004PBI4QM,Zoo Med Laboratories AZMBB7 Betta Banquet Blocks,1.15,TopDawg Pet Supply,10617,6.19,11,3.22,0.93,4.37,1.82,158.26%
000116311601,B00NG4WO60,Seachem Flourish Glue,3.88,Lambert Vet Supply,10678,9.79,21,3.76,1.47,7.64,2.15,55.41%
30157008284,B001OVF7HU,Blue Ribbon EE-822 Exotic Environments Greek Vase Aquarium Ornament 8 by 6-1/2 by 7,12.95,Blue Ribbon,161542,18.63,8,9.87,2.79,22.82,-4.19,-32.36%
30157010454,B00BUFSAEC,"Blue Ribbon Pet Products ABLVSB1219 White Decorative Rock Background for Aquarium, 19-Inch 50-Feet",23.37,TopDawg Pet Supply,517451,34.36,1,15.14,5.15,38.51,-4.15,-17.76%
097612114003,B01GQEEWS4,Zoo Med Laboratories Giant Banquet Block Feeder (3 Pack),1.35,Zoo Med,10692,8.86,13,4.71,1.33,6.06,2.8,207.41%
015958974068,B002JIDGRA,"Pork Chomps Baked Pork Skin Dog Chews, 2.5-inch Mini Knots, Bacon Flavor Strip, 12 Count",0.75,"Scott Pet Products, Inc.",10880,8.99,2,4.73,1.35,5.48,3.51,468.00%
015958990020,B07TXYS5T6,"Pork Chomps Baked Pork Skin Dog Chews, 3-inch Knots, 18 Count",10.45,"Scott Pet Products, Inc.",10880,21.9,7,9.16,3.29,19.61,2.29,21.91%
30157014087,B0065KT5UK,Rosewood Blue Ribbon PET Products EE-5649 Exotic Environments Tall Pebble Archway,17.81,Prime Pet Deals - Code 1,406633,20.44,5,8.59,3.07,26.4,-5.96,-33.46%
091197260124,B0C44VQ3LV,"Fluker's Deep Thermal Heat Lamp for Reptiles with Carbon Infrared Technology, for All Reptile Tanks, Great for Basking, 100 Watt",5.06,Fluker's,11304,13.49,5,6.17,2.02,11.23,2.26,44.66%
30157014193,B004HSQTGA,"Blue Ribbon Pet Products ABLCB2010BKP Pacifica Plant for Aquarium, Black/Purple",13,TopDawg Pet Supply,368484,12.98,3,6.5,1.95,19.5,-6.52,-50.15%
051233252353,B01150KSE6,Vitakraft (2 Pack) Dandelion Drops for Chinchillas (5.3 Ounces Per Pack),3.89,Vitakraft,11453,12.99,9,6.1,1.95,9.99,3,77.12%
097612348248,B07PNK42W8,Zoo Med 2 Pack of T5 HO ReptiSun 10.0 UVB Daylight Lamps,23.73,Zoo Med Laboratories,11622,48.11,7,16.83,7.22,40.56,7.55,31.82%
018214826415,B0052SP8JS,"Nylabone Power Chew Ring Bone Chew Toy, Dog Toys for Aggressive Chewers, Flavor Medley, X-Small - Up to 15 lbs.",0.05,Central Garden & Pet,11664,3.89,15,2.87,0.58,2.92,0.97,1940.00%
015561230117,B0002AR5E2,"Exo Terra Plastic Terrarium Plant, Medium, Amapallo",0.05,Rolf C. Hagen (USA) Corp.,11675,9.07,5,6.11,1.36,6.16,2.91,5820.00%
073091031628,B00QO2CNWQ,"SENTRY Fiproguard Plus for Dogs, Flea and Tick Prevention for Dogs (45-88 Pounds), Includes 3 Month Supply of Topical Flea Treatments",12.78,Sentry,11678,20.99,3,7.05,3.15,19.83,1.16,9.08%
015958978851,B00DQ1R87S,"Pork Chomps Baked Pork Skin Dog Chews, 6-inch Twists, Bacon Flavor Wrap, 4 Count",1,"Scott Pet Products, Inc.",11925,6.26,8,4.07,0.94,5.07,1.19,119.00%
30157018238,B019CY99GA,"Blue Ribbon EE-144 Princess Castle Exotic Environments Aquarium Ornament 3.75""L x 2.75""W x 5""H",5.89,"Blue Ribbon Pet Products, Inc.",86100,11.75,10,5.91,1.76,11.8,-0.05,-0.85%
073626618164,B0006G5FD0,"Miracle Care Ear Powder Step 1, 96 Grams, Dog Ear Infection Treatment, Cat & Dog Ear Cleaner Powder for dirt removal",6.5,Rich Health,11997,20.6,13,7.64,3.09,14.14,6.46,99.38%
30157018412,B016JDWDBA,Exotic Environments Asian Cottage House with Bonsai Aquarium Ornament,23.79,Prime Pet Deals - Code 1,108831,32.57,4,12.05,4.89,35.84,-3.27,-13.75%
30157018474,B016JDWHZ2,BLUE RIBBON PET PRODUCTS EE-695 Exotic Environments Thai Warrior Statue with Moss,11.88,BLUE RIBBON PET PRODUCTS,119397,8.8,10,5.54,1.32,17.42,-8.62,-72.56%
073626617044,B0002HBKLO,"Miracle Care Ear Cleaner for Dogs and Cats, 4 Ounce, Reduces Ear Odor and Waxy Build Up",0.05,Rich Health,11997,7.5,2,4.54,0.6,4.59,2.91,5820.00%
30157018559,B016JDWN0Q,"Blue Ribbon EE-696 Ancient Buddha Statue with Moss Exotic Environments Aquarium Ornament, White",16.68,"Blue Ribbon Pet Products, Inc.",173302,18.37,7,7.75,2.76,24.43,-6.06,-36.33%
051233204000,B0BTFD7SKJ,"Vitakraft Veggie & Fruity Pie Treat for Pet Rabbits, Guinea Pigs, and Hamsters, 2 Pies,brown,24"" x 50"", 1.27 Ounce (Pack of 1)",0.5,Vitakraft Sunseed,12198,7.02,7,4.18,1.05,4.68,2.34,468.00%
30157018795,B06XS72CFR,Blue Ribbon Small Great Barrier Reef Exotic Environments Aquarium Ornament,16.2,"Blue Ribbon Pet Products, Inc.",463328,12.6,5,7.41,1.89,23.61,-11.01,-67.96%
30157018856,B06XRZFV4P,Blue Ribbon EE-1137 Skull Mountain Geode Stone Exotic Environments Aquarium Ornament,15.48,"Blue Ribbon Pet Products, Inc.",277593,21.43,7,8.2,3.21,23.68,-2.25,-14.53%
096316671348,B01LVZ6BWX,"Zilla (3 Pack) Incandescent Bulb, Day White Light & Heat, 75 Watt",1.5,Zilla,12202,15.93,8,8.44,2.39,9.94,5.99,399.33%
015905002691,B0CGVXHVFK,"Aqueon AquaPacs Sludge Remover 12 Pack, 10 Gallon",1.5,Central Garden & Pet,12478,9.89,5,4.61,1.48,6.11,3.78,252.00%
077234543153,B0798CDFPT,"SPOT Bam-Bones Wishbone - Made with Strong Bamboo Fiber, Durable Long Lasting Dog Chew for Light to Moderate Chewers, Great Toy for Adult Dogs & Teething Puppies Under 50lbs, 7in, Bacon Flavor",1.99,Ethical Products/Fashion Pet,12773,7.87,22,4.31,1.18,6.3,1.57,78.89%
015561104906,B001XRR3YA,"Fluval U2 Poly-Carb Cartridge, Replacement Underwater Aquarium Filter Media, 2-Pack, A490",2.48,Rolf C. Hagen (USA) Corp.,13237,7.49,7,4.03,1.12,6.51,0.98,39.52%
30157019013,B077BRFFQR,Blue Ribbon EE-1123 Exotic Environments Mountain Top Castle with Moss Aquarium Ornament,13.4,"Blue Ribbon Pet Products, Inc.",167476,16.68,6,7.4,2.5,20.8,-4.12,-30.75%
30157019020,B077BR889V,Blue Ribbon EE-1124 Exotic Environments Mountain Top Citadel with Moss Aquarium Ornament,17.38,"Blue Ribbon Pet Products, Inc.",167476,19.45,6,9.54,2.92,26.92,-7.47,-42.98%
30157019082,B077BY1529,Blue Ribbon EE-1734 Exotic Environments Temple Ruins,12.85,"Blue Ribbon Pet Products, Inc.",218500,19.99,4,8.77,3,21.62,-1.63,-12.68%
30157019167,B077BVTRH5,Blue Ribbon EE-547 Exotic Environments REEFflections Stackable Reef Rock Replicas Aquarium Ornament,18.97,"Blue Ribbon Pet Products, Inc.",253981,20.8,2,9.33,3.12,28.3,-7.5,-39.54%
000116017305,B01HMXU6OM,"Seachem Garlic Guard Additive Flavor Enhancer for Finicky Eaters Freshwater and Marine, 17 Ounce (3 Pack)",12.66,Seachem Laboratories Inc,13471,33.79,8,12.23,5.07,24.89,8.9,70.30%
30157020729,B0BN2MP4GH,Fun House Village Small Aquarium Ornament Blue Roofs,1.25,Blue Ribbon,548153,23.99,1,,,,,nan%
30157020736,B0BN366DJ3,Fun House Village Purple Roof Aquarium Ornament,1.25,Blue Ribbon,121437,23.99,1,,,,,nan%
8479000200,B00BUFUMZM,"Caribsea Seaflor Special Grade Reef Sand, 15 lb.",25.38,Caribsea,199828,29.99,3,,,,,nan%
8479000200,B004LOGE60,"Carib Sea ACS00020 Aragonite Reef Sand for Aquarium, 15-Pound",25.38,TopDawg Pet Supply,227963,0,2,11.25,0.3,36.63,-36.63,-144.33%
8479000507,B00025YRQQ,"Carib Sea ACS00050 Aragonite Reef Sand for Aquarium, 40-Pound",38.94,TopDawg Pet Supply,98029,41.08,6,31.35,6.16,70.29,-29.21,-75.01%
000116017602,B000256DVI,Seachem GarlicGuard 250 ml,1,"Seachem Laboratories, Inc.",13471,6.63,17,4.37,0.99,5.37,1.26,126.00%
8479003287,B07G4KPJ93,Carib Sea Exotica Mountain Stone Aquascaping Stone,33.93,Caribsea,455879,57.99,12,28.19,8.7,62.12,-4.13,-12.17%
8479003706,B0017JBX7M,"Carib Sea ACS00370 South Sea Base Rock for Aquarium, 40-Pound",74.87,TopDawg Pet Supply,148148,0,10,23.96,0.3,98.83,-98.83,-132.00%
8479003720,B00BUFUSR4,"Carib Sea ACS00372 3 case South Sea Base Rock Bag for Aquarium, 10-Pound",20.27,TopDawg Pet Supply,22877,28,8,19.89,4.2,40.16,-12.16,-59.99%
8479007629,B079J4ZBY9,Carib Sea Dry Packed Substrate Samurai Soil 9lb for Shrimp and Planted Aquaria,26.28,Royal Aquatic LLC,100627,39.53,11,15.41,5.93,41.69,-2.16,-8.22%
8479007629,B079J8LVQK,"Carib Sea 00761 Samurai Soil, 3.5 lbs",26.28,Royal Aquatic LLC,233651,20.76,8,10.51,3.11,36.79,-16.03,-61.00%
8479007728,B0002DH0X0,"Carib Sea Eco-Complete African Cichlid Substrate, 20-Pound, Live Sand for Aquarium",22.93,TopDawg Pet Supply,174024,0,7,24.72,0.3,47.65,-47.65,-207.81%
025033025271,B000BJK3QQ,"Danner Manufacturing, Inc., Pondmaster 700 GPH Pond-Mag, Magnetic Drive Water Pump, 02527",56.62,"Danner Manufacturing, Inc.",13490,77.5,44,18.95,11.63,75.57,1.93,3.41%
8479007926,B00025YVGC,CaribSea Arag-Alive 20 lb Fiji Pink Sand,30,Carib Sea,8536,24.32,6,20.86,3.65,50.86,-26.54,-88.47%
8479008237,B0002APML0,"Caribsea Super Naturals Aquarium Sand, 20-Pound, Torpedo Beach",20.4,Caribsea,64791,29.59,6,21.65,4.44,42.05,-12.46,-61.08%
8479008404,B005QTEO66,"Caribsea Super Naturals Aquarium Sand, 20-Pound, Crystal River",25.35,Caribsea,64791,0,1,16.74,0.3,42.09,-42.09,-166.04%
48476225435,B00CUH3CZ6,"Petrodex Dental Care Kit for Dogs and Puppies, Cleans Teeth and Fights Bad Breath, Reduces Plaque and Tartar Formation, Enzymatic Tooth Brushing Kit, Peanut Flavor, 2.5oz Toothpaste + Toothbrush",3.79,Petrodex,3761,6.47,11,4.1,0.97,7.89,-1.42,-37.47%
48476225435,B079LGLXST,"Petrodex Sentry Natural Peanut Flavor Pet Dental Kit, 2.5-Ounce (2 Kits)",3.79,Petrodex,274839,0,6,3.68,0.3,7.47,-7.47,-197.10%
48476225435,B07B3PQRGP,Sentry Petrodex Vs Natural Dental Care Kit Dog Peanut Toothpaste,3.79,Petrodex,393507,0,0,4.52,0.3,8.31,-8.31,-219.26%
045663975463,B085M8197B,Four Paws Healthy Promise Cat Multivitamin Soft Chews 120 Count,5.07,Central Garden & Pet,13527,14.37,6,6.06,2.16,11.13,3.24,63.91%
